# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 18:27:13
[Simulation_03: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
0.0000000e+00	0.0000000e+00
2.7489142e-02	1.9559314e-04
5.4978285e-02	7.3116703e-04
8.2467422e-02	1.5948194e-03
1.0995657e-01	2.7530694e-03
1.3744570e-01	4.1809944e-03
1.6493484e-01	5.8534113e-03
1.9242400e-01	7.7461856e-03
2.1991314e-01	9.8358504e-03
2.4740228e-01	1.2096785e-02
2.7489141e-01	1.4497358e-02
3.0238056e-01	1.6998852e-02
3.2986969e-01	1.9558260e-02
3.5735884e-01	2.2131527e-02
3.8484800e-01	2.4675013e-02
4.1233712e-01	2.7146799e-02
4.3982628e-01	2.9509092e-02
4.6731541e-01	3.1730123e-02
4.9480456e-01	3.3783965e-02
5.2229369e-01	3.5649281e-02
5.4978281e-01	3.7309173e-02
5.7727200e-01	3.8752317e-02
6.0476112e-01	3.9973553e-02
6.3225025e-01	4.0973272e-02
6.5973938e-01	4.1756939e-02
6.8722856e-01	4.2335466e-02
7.1471769e-01	4.2725507e-02
7.4220681e-01	4.2948559e-02
7.6969600e-01	4.3029621e-02
7.9718512e-01	4.2996660e-02
8.2467425e-01	4.2880781e-02
8.5216337e-01	4.2715885e-02
8.7965256e-01	4.2537466e-02
9.0714169e-01	4.2381454e-02
9.3463081e-01	4.2283569e-02
9.6211994e-01	4.2278729e-02
9.8960912e-01	4.2399906e-02
1.0170982e+00	4.2676974e-02
1.0445874e+00	4.3136142e-02
1.0720766e+00	4.3800093e-02
1.0995656e+00	4.4688053e-02
1.1270548e+00	4.5815710e-02
1.1545440e+00	4.7195066e-02
1.1820331e+00	4.8834484e-02
1.2095222e+00	5.0738420e-02
1.2370114e+00	5.2906740e-02
1.2645005e+00	5.5333927e-02
1.2919897e+00	5.8008589e-02
1.3194788e+00	6.0913540e-02
1.3469679e+00	6.4026229e-02
1.3744571e+00	6.7319520e-02
1.4019462e+00	7.0762798e-02
1.4294354e+00	7.4323080e-02
1.4569246e+00	7.7965915e-02
1.4844136e+00	8.1656031e-02
1.5119028e+00	8.5357599e-02
1.5393920e+00	8.9034542e-02
1.5668811e+00	9.2650726e-02
1.5943702e+00	9.6170299e-02
1.6218593e+00	9.9558361e-02
1.6493485e+00	1.0278210e-01
1.6768377e+00	1.0581206e-01
1.7043267e+00	1.0862304e-01
1.7318159e+00	1.1119437e-01
1.7593051e+00	1.1350958e-01
1.7867942e+00	1.1555620e-01
1.8142834e+00	1.1732571e-01
1.8417726e+00	1.1881384e-01
1.8692616e+00	1.2002072e-01
1.8967508e+00	1.2095116e-01
1.9242399e+00	1.2161466e-01
1.9517291e+00	1.2202545e-01
1.9792182e+00	1.2220233e-01
2.0067074e+00	1.2216812e-01
2.0341964e+00	1.2194881e-01
2.0616856e+00	1.2157223e-01
2.0891747e+00	1.2106699e-01
2.1166639e+00	1.2046161e-01
2.1441531e+00	1.1978433e-01
2.1716423e+00	1.1906287e-01
2.1991313e+00	1.1832441e-01
2.2266204e+00	1.1759522e-01
2.2541096e+00	1.1690005e-01
2.2815988e+00	1.1626162e-01
2.3090880e+00	1.1570010e-01
2.3365769e+00	1.1523284e-01
2.3640661e+00	1.1487426e-01
2.3915553e+00	1.1463562e-01
2.4190445e+00	1.1452465e-01
2.4465337e+00	1.1454478e-01
2.4740229e+00	1.1469467e-01
2.5015118e+00	1.1496782e-01
2.5290010e+00	1.1535279e-01
2.5564902e+00	1.1583371e-01
2.5839794e+00	1.1639121e-01
2.6114686e+00	1.1700313e-01
2.6389575e+00	1.1764519e-01
2.6664467e+00	1.1829170e-01
2.6939359e+00	1.1891602e-01
2.7214251e+00	1.1949120e-01
2.7489142e+00	1.1999075e-01
2.7764034e+00	1.2038966e-01
