# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 18:27:38
[Simulation_03: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
0.0000000e+00	-1.9247081e+00
2.7489142e-02	-1.9263237e+00
5.4978285e-02	-1.9276937e+00
8.2467422e-02	-1.9288275e+00
1.0995657e-01	-1.9297305e+00
1.3744570e-01	-1.9304118e+00
1.6493484e-01	-1.9308757e+00
1.9242400e-01	-1.9311304e+00
2.1991314e-01	-1.9311818e+00
2.4740228e-01	-1.9310369e+00
2.7489141e-01	-1.9306992e+00
3.0238056e-01	-1.9301761e+00
3.2986969e-01	-1.9294709e+00
3.5735884e-01	-1.9285918e+00
3.8484800e-01	-1.9275389e+00
4.1233712e-01	-1.9263198e+00
4.3982628e-01	-1.9249361e+00
4.6731541e-01	-1.9233928e+00
4.9480456e-01	-1.9216913e+00
5.2229369e-01	-1.9198368e+00
5.4978281e-01	-1.9178307e+00
5.7727200e-01	-1.9156754e+00
6.0476112e-01	-1.9133713e+00
6.3225025e-01	-1.9109190e+00
6.5973938e-01	-1.9083234e+00
6.8722856e-01	-1.9055787e+00
7.1471769e-01	-1.9026897e+00
7.4220681e-01	-1.8996514e+00
7.6969600e-01	-1.8964664e+00
7.9718512e-01	-1.8931289e+00
8.2467425e-01	-1.8896379e+00
8.5216337e-01	-1.8859909e+00
8.7965256e-01	-1.8821839e+00
9.0714169e-01	-1.8782109e+00
9.3463081e-01	-1.8740695e+00
9.6211994e-01	-1.8697506e+00
9.8960912e-01	-1.8652534e+00
1.0170982e+00	-1.8605684e+00
1.0445874e+00	-1.8556900e+00
1.0720766e+00	-1.8506107e+00
1.0995656e+00	-1.8453238e+00
1.1270548e+00	-1.8398207e+00
1.1545440e+00	-1.8340944e+00
1.1820331e+00	-1.8281358e+00
1.2095222e+00	-1.8219349e+00
1.2370114e+00	-1.8154850e+00
1.2645005e+00	-1.8087792e+00
1.2919897e+00	-1.8018059e+00
1.3194788e+00	-1.7945548e+00
1.3469679e+00	-1.7870200e+00
1.3744571e+00	-1.7791905e+00
1.4019462e+00	-1.7710568e+00
1.4294354e+00	-1.7626102e+00
1.4569246e+00	-1.7538434e+00
1.4844136e+00	-1.7447455e+00
1.5119028e+00	-1.7353041e+00
1.5393920e+00	-1.7255151e+00
1.5668811e+00	-1.7153649e+00
1.5943702e+00	-1.7048465e+00
1.6218593e+00	-1.6939511e+00
1.6493485e+00	-1.6826676e+00
1.6768377e+00	-1.6709882e+00
1.7043267e+00	-1.6589017e+00
1.7318159e+00	-1.6463993e+00
1.7593051e+00	-1.6334736e+00
1.7867942e+00	-1.6201165e+00
1.8142834e+00	-1.6063156e+00
1.8417726e+00	-1.5920655e+00
1.8692616e+00	-1.5773574e+00
1.8967508e+00	-1.5621830e+00
1.9242399e+00	-1.5465333e+00
1.9517291e+00	-1.5304041e+00
1.9792182e+00	-1.5137872e+00
2.0067074e+00	-1.4966770e+00
2.0341964e+00	-1.4790663e+00
2.0616856e+00	-1.4609511e+00
2.0891747e+00	-1.4423275e+00
2.1166639e+00	-1.4231900e+00
2.1441531e+00	-1.4035372e+00
2.1716423e+00	-1.3833640e+00
2.1991313e+00	-1.3626738e+00
2.2266204e+00	-1.3414601e+00
2.2541096e+00	-1.3197247e+00
2.2815988e+00	-1.2974696e+00
2.3090880e+00	-1.2746933e+00
2.3365769e+00	-1.2513986e+00
2.3640661e+00	-1.2275878e+00
2.3915553e+00	-1.2032647e+00
2.4190445e+00	-1.1784321e+00
2.4465337e+00	-1.1530954e+00
2.4740229e+00	-1.1272591e+00
2.5015118e+00	-1.1009284e+00
2.5290010e+00	-1.0741084e+00
2.5564902e+00	-1.0468066e+00
2.5839794e+00	-1.0190293e+00
2.6114686e+00	-9.9078268e-01
2.6389575e+00	-9.6207583e-01
2.6664467e+00	-9.3291527e-01
2.6939359e+00	-9.0331078e-01
2.7214251e+00	-8.7326956e-01
2.7489142e+00	-8.4280068e-01
2.7764034e+00	-8.1191552e-01
2.8038924e+00	-7.8062403e-01
2.8313816e+00	-7.4893427e-01
2.8588707e+00	-7.1686143e-01
2.8863599e+00	-6.8441486e-01
2.9138491e+00	-6.5160853e-01
2.9413381e+00	-6.1845553e-01
2.9688272e+00	-5.8497053e-01
2.9963164e+00	-5.5116707e-01
3.0238056e+00	-5.1706082e-01
3.0512948e+00	-4.8266879e-01
3.0787840e+00	-4.4800687e-01
3.1062729e+00	-4.1309375e-01
3.1337621e+00	-3.7794620e-01
3.1612513e+00	-3.4258437e-01
3.1887405e+00	-3.0702642e-01
3.2162297e+00	-2.7129313e-01
